model,stratum,season,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
gpt-4o-demo,regional_inference,annual,5.899641285431954,0.10927285211024179,2.4813636363636364,26.0,0.48157066123356174,2
gpt-4o-demo,regional_inference,dry_season,2.2529236708898774,0.4978836841745585,0.984375,9.0,1.9889502762430937,2
gpt-4o-demo,regional_inference,wet_season,4.791443397029112,0.14815842291370168,2.131428571428571,19.0,0.5875077303648732,2
gpt-4o-demo,specific_station,annual,6.611394355896975,0.11686070447895669,2.9718750000000003,25.0,0.4418912947414936,2
gpt-4o-demo,specific_station,dry_season,2.3930558247089,0.4464656389382277,1.0905555555555555,8.0,1.492537313432836,2
gpt-4o-demo,specific_station,wet_season,4.723883233049977,0.13348073560468995,2.1321875,18.0,0.5086182537439955,2
gpt-4o-demo,underspecified,annual,6.034074931810382,0.11936844573314308,2.6707605177993523,30.0,0.5934718100890208,2
gpt-4o-demo,underspecified,dry_season,2.531292250699215,0.386752062750071,1.1211747430249632,13.0,1.9862490450725745,2
gpt-4o-demo,underspecified,wet_season,4.431027065150503,0.15313727545016426,1.9658146367521363,22.0,0.7603248660791428,2
gpt-4o-mini-demo,regional_inference,annual,6.198010384571361,0.11479922920117357,2.853181818181818,16.200000000000003,0.300055565845527,2
gpt-4o-mini-demo,regional_inference,dry_season,3.0281831417201914,0.6692117440265616,1.4710416666666668,2.1000000000000005,0.46408839779005534,2
gpt-4o-mini-demo,regional_inference,wet_season,5.174263696805041,0.15999578530627834,2.462380952380953,9.599999999999998,0.2968460111317254,2
gpt-4o-mini-demo,specific_station,annual,6.863925191138623,0.12132435158884,3.137291666666667,16.5,0.29164825452938575,2
gpt-4o-mini-demo,specific_station,dry_season,2.8508696130462448,0.5318786591504189,1.3930555555555555,1.8000000000000007,0.33582089552238825,2
gpt-4o-mini-demo,specific_station,wet_season,5.16690239160873,0.14599893731587255,2.389479166666667,9.900000000000002,0.2797400395591976,2
gpt-4o-mini-demo,underspecified,annual,6.085530055683632,0.12038635124992349,2.810604099244876,15.0,0.2967359050445104,2
gpt-4o-mini-demo,underspecified,dry_season,3.040110827028038,0.4644936328537873,1.4774302496328928,2.3999999999999995,0.36669213139801365,2
gpt-4o-mini-demo,underspecified,wet_season,4.774713625568497,0.1650151589966648,2.2430742521367515,8.400000000000002,0.290305857957491,2
