scenario_id,model,stratum,season,prompt_variant,location_description,fawn_station_id,target_p10,target_p50,target_p90,reference_year_count,p10,p50,p90,interval_width,relative_interval_width,target_interval_width,confidence,crps,crps_relative,mean_pinball_loss,median_abs_error,median_abs_error_relative,latency_ms
miami_annual_natural,gpt-4o-mini,specific_station,annual,natural,"My grandma lives in Miami, Florida. How much rain should she expect over the next year?",440,46.495,56.575,76.22999999999999,16,40.0,60.0,80.0,40.0,0.7070260715863897,29.734999999999992,0.85,6.731145643346234,0.11897738653727324,2.8795833333333336,9.2275,0.16310207688908526,9136.268200003542
miami_annual_statistical,gpt-4o-mini,specific_station,annual,statistical,"A FAWN agricultural monitoring station in Miami-Dade County, Florida (Homestead, station 440).",440,46.495,56.575,76.22999999999999,16,40.0,55.0,70.0,30.0,0.5302695536897923,29.734999999999992,0.85,6.636018317027824,0.1172959490415877,2.9752083333333337,8.993750000000002,0.15897039328325235,1912.698200030718
gulf_city_annual_natural,gpt-4o-mini,regional_inference,annual,natural,"My grandma lives in a Gulf coast Florida city of about 100,000 people — not Miami or Tampa. How much rain should she expect over the next year?",480,38.4,53.99,63.43,11,40.0,55.0,70.0,30.0,0.5556584552694943,25.03,0.85,6.100892571915744,0.11300041807586116,2.569242424242424,8.193636363636363,0.1517621108286046,1961.1776999663562
gulf_city_annual_statistical,gpt-4o-mini,regional_inference,annual,statistical,"A Gulf coast Florida city with roughly 100,000 residents (North Port, FAWN station 480).",480,38.4,53.99,63.43,11,40.0,55.0,70.0,30.0,0.5556584552694943,25.03,0.85,6.100892571915744,0.11300041807586116,2.569242424242424,8.193636363636363,0.1517621108286046,2042.9838999989443
random_fl_annual_natural,gpt-4o-mini,underspecified,annual,natural,My grandma lives somewhere in Florida — I do not know the city. How much rain should she expect over the next year?,,39.61,50.55,64.07300000000001,618,40.0,55.0,70.0,30.0,0.5934718100890208,24.463000000000008,0.85,6.31079524862315,0.1248426359767191,2.7902319309600863,8.887540453074434,0.17581682399751603,1312.290000030771
random_fl_annual_statistical,gpt-4o-mini,underspecified,annual,statistical,A random Florida agricultural monitoring station drawn uniformly from the FAWN network (any of the ~50 stations statewide).,,39.61,50.55,64.07300000000001,618,40.0,55.0,70.0,30.0,0.5934718100890208,24.463000000000008,0.85,6.31079524862315,0.1248426359767191,2.7902319309600863,8.887540453074434,0.17581682399751603,1575.1772999647073
miami_wet_natural,gpt-4o-mini,specific_station,wet_season,natural,"My grandma lives in Miami, Florida. How much rain should she expect from June through September?",440,24.909999999999997,35.39,45.17,16,20.0,40.0,60.0,40.0,1.1302627860977676,20.260000000000005,0.85,6.0521325316061905,0.17101250442515373,2.6528125,7.916875000000001,0.22370372986719414,1383.0631999881007
miami_wet_statistical,gpt-4o-mini,specific_station,wet_season,statistical,"A FAWN agricultural monitoring station in Miami-Dade County, Florida (Homestead, station 440).",440,24.909999999999997,35.39,45.17,16,15.0,25.0,35.0,20.0,0.5651313930488838,20.260000000000005,0.85,7.6552502811044825,0.2163111127749218,3.524270833333334,10.336875,0.29208462842610905,1810.5591000057757
gulf_city_wet_natural,gpt-4o-mini,regional_inference,wet_season,natural,"My grandma lives in a Gulf coast Florida city of about 100,000 people — not Miami or Tampa. How much rain should she expect from June through September?",480,25.196,32.339999999999996,46.136,14,15.0,30.0,45.0,30.0,0.927643784786642,20.94,0.85,5.344040477529221,0.165245531154274,2.2652380952380944,6.905714285714287,0.21353476455517276,1637.8426000010222
gulf_city_wet_statistical,gpt-4o-mini,regional_inference,wet_season,statistical,"A Gulf coast Florida city with roughly 100,000 residents (North Port, FAWN station 480).",480,25.196,32.339999999999996,46.136,14,20.0,35.0,50.0,30.0,0.927643784786642,20.94,0.85,4.924302807333626,0.1522666297876817,2.1478571428571427,6.887142857142856,0.21296050887887621,1399.424800009001
